discipline	desnorm_wchild	desnorm_wnochild	desnorm_mchild	desnorm_mnochild	injnorm_wchild	injnorm_wnochild	injnorm_mchild	injnorm_mnochild	aim_avg	resp_gender	hasunder10
Business	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	2.5	M	True
Business	1.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	3.0	F	True
Business	1.0	2.0	1.5	2.0	2.0	2.0	2.0	2.0	2.0	M	False
Business	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.5	M	False
Business	1.5	1.5	1.5	1.5	2.0	2.0	2.0	2.0	2.5	M	False
Business	2.0	3.0	2.0	3.0	2.0	2.0	2.0	2.0	7.0	M	True
Business	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	7.0	M	True
Business	2.0	2.0	3.0	4.0	2.0	2.0	3.0	5.0	5.0	F	False
Business	5.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	10.5	M	False
Business	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	2.5	F	False
Business	2.0	4.0	3.0	4.0	2.0	2.0	2.0	2.0	3.0	F	True
Business	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.5	F	False
Business	3.0	3.0	3.0	3.0	5.0	5.0	5.0	5.0	7.5	F	False
Business	1.0	2.0	1.0	2.0	2.0	3.0	2.0	3.0	2.0	M	True
Business	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	M	True
Business	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	M	True
Business										M	True
Business	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	F	True
Business	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	M	True
Business	2.0	2.0	2.0	2.0	4.0	3.0	4.0	3.0	6.0	M	True
Business	1.0	2.0	2.0	3.0	2.0	3.0	2.0	3.0	4.0	F	False
Business	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.5	M	False
